date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:24	35450/35450	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:22%20GMT	https://laravel.com/docs/5.4	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.html	(from )
11:07:25	24/24	---M--	200	added ('OK')	text/plain	etag:%2256eb5bc8-18%22	https://laravel.com/robots.txt		(from )
11:07:26	35541/35541	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:24%20GMT	https://laravel.com/docs/5.4/installation	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/installation.html	(from https://laravel.com/docs/5.4)
11:07:26	12312/12312	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Aug%202016%2017:31:43%20GMT	http://cdnjs.cloudflare.com/ajax/libs/flexboxgrid/6.3.1/flexboxgrid.min.css	C:/My%20Web%20Sites/laraDoc/cdnjs.cloudflare.com/ajax/libs/flexboxgrid/6.3.1/flexboxgrid.min.css	(from https://laravel.com/docs/5.4)
11:07:26	51794/51794	---MCZ	200	added ('OK')	text/css	etag:W/%225968e274-ca52%22	https://laravel.com/build/assets/css/laravel-143628dd7b.css	C:/My%20Web%20Sites/laraDoc/laravel.com/build/assets/css/laravel-143628dd7b.css	(from https://laravel.com/docs/5.4)
11:07:27	1035/1035	---M--	200	added ('OK')	image/png	etag:%22587d143c-40b%22	https://laravel.com/favicon.png	C:/My%20Web%20Sites/laraDoc/laravel.com/favicon.png	(from https://laravel.com/docs/5.4)
11:07:29	76807/76807	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2028%20Jun%202016%2021:16:25%20GMT	https://cdnjs.cloudflare.com/ajax/libs/vue/1.0.26/vue.min.js	C:/My%20Web%20Sites/laraDoc/cdnjs.cloudflare.com/ajax/libs/vue/1.0.26/vue.min.js	(from https://laravel.com/docs/5.4)
11:07:29	35854/35854	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:28%20GMT	https://laravel.com/docs/master	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/master.html	(from https://laravel.com/docs/5.4)
11:07:31	35472/35472	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:29%20GMT	https://laravel.com/docs/5.3	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5-2.html	(from https://laravel.com/docs/5.4)
11:07:32	31869/31869	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:30%20GMT	https://laravel.com/docs/5.2	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5-3.html	(from https://laravel.com/docs/5.4)
11:07:33	38513/38513	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:31%20GMT	https://laravel.com/docs/5.1	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5-4.html	(from https://laravel.com/docs/5.4)
11:07:34	31179/31179	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:32%20GMT	https://laravel.com/docs/5.0	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5-5.html	(from https://laravel.com/docs/5.4)
11:07:35	30861/30861	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:33%20GMT	https://laravel.com/docs/4.2	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/4.html	(from https://laravel.com/docs/5.4)
11:07:35	2618/2618	---M--	200	added ('OK')	image/png	etag:%2259679654-a3a%22	https://laravel.com/assets/img/laravel-logo-white.png	C:/My%20Web%20Sites/laraDoc/laravel.com/assets/img/laravel-logo-white.png	(from https://laravel.com/docs/5.4)
11:07:36	97157/97157	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:34%20GMT	https://laravel.com/docs/5.4/releases	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/releases.html	(from https://laravel.com/docs/5.4)
11:07:37	57715/57715	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:35%20GMT	https://laravel.com/docs/5.4/upgrade	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/upgrade.html	(from https://laravel.com/docs/5.4)
11:07:38	35810/35810	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:36%20GMT	https://laravel.com/docs/5.4/contributions	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/contributions.html	(from https://laravel.com/docs/5.4)
11:07:38	36950/36950	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:36%20GMT	https://laravel.com/docs/5.4/configuration	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/configuration.html	(from https://laravel.com/docs/5.4)
11:07:39	43233/43233	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:37%20GMT	https://laravel.com/docs/5.4/structure	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/structure.html	(from https://laravel.com/docs/5.4)
11:07:39	51059/51059	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:38%20GMT	https://laravel.com/docs/5.4/homestead	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/homestead.html	(from https://laravel.com/docs/5.4)
11:07:39	45107/45107	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:38%20GMT	https://laravel.com/docs/5.4/valet	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/valet.html	(from https://laravel.com/docs/5.4)
11:07:40	34163/34163	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:38%20GMT	https://laravel.com/docs/5.4/lifecycle	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/lifecycle.html	(from https://laravel.com/docs/5.4)
11:07:41	39832/39832	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:39%20GMT	https://laravel.com/docs/5.4/container	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/container.html	(from https://laravel.com/docs/5.4)
11:07:42	36046/36046	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:40%20GMT	https://laravel.com/docs/5.4/providers	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/providers.html	(from https://laravel.com/docs/5.4)
11:07:43	43428/43428	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:41%20GMT	https://laravel.com/docs/5.4/facades	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/facades.html	(from https://laravel.com/docs/5.4)
11:07:44	41695/41695	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:42%20GMT	https://laravel.com/docs/5.4/contracts	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/contracts.html	(from https://laravel.com/docs/5.4)
11:07:45	44239/44239	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:44%20GMT	https://laravel.com/docs/5.4/routing	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/routing.html	(from https://laravel.com/docs/5.4)
11:07:46	39237/39237	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:45%20GMT	https://laravel.com/docs/5.4/middleware	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/middleware.html	(from https://laravel.com/docs/5.4)
11:07:47	33509/33509	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:46%20GMT	https://laravel.com/docs/5.4/csrf	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/csrf.html	(from https://laravel.com/docs/5.4)
11:07:49	47978/47978	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:47%20GMT	https://laravel.com/docs/5.4/controllers	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/controllers.html	(from https://laravel.com/docs/5.4)
11:07:49	46331/46331	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:47%20GMT	https://laravel.com/docs/5.4/requests	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/requests.html	(from https://laravel.com/docs/5.4)
11:07:50	43765/43765	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:49%20GMT	https://laravel.com/docs/5.4/responses	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/responses.html	(from https://laravel.com/docs/5.4)
11:07:51	37595/37595	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:50%20GMT	https://laravel.com/docs/5.4/views	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/views.html	(from https://laravel.com/docs/5.4)
11:07:53	42973/42973	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jul%202017%2006:07:51%20GMT	https://laravel.com/docs/5.4/session	C:/My%20Web%20Sites/laraDoc/laravel.com/docs/5.4/session.html	(from https://laravel.com/docs/5.4)
